Location,Price,Area_Type,Bedroom,Bathroom,Square_feet,Lot_Size,Year_Built
205,"216 Borden Ave, Asbury Park, NJ, 07712","$575,000","Single Family, Detached",4,2.5,"2,297 Sq Ft","5,662 Sq. Ft.",2022
206,"315 Parisen Ave, Bayville, NJ, 08721","$575,888",Single Family Residential,4,3,"2,232 Sq Ft","10,001 Sq. Ft.",2023
207,"58 Harvest Way, Little Falls, NJ, 07424","$577,440",Multi-Family (2-4 Unit),2,3.5,"1,499 Sq Ft",,2023
208,"803 Harrison St, Frenchtown, NJ, 08825","$577,500",Single Family Residential,3,2.5,"2,189 Sq Ft","3,485 Sq. Ft.",2022
209,"59 Swackhammer Way, Mount Olive Twp., NJ, 07828","$578,000",Townhouse,3,3.5,"2,398 Sq Ft","4,356 Sq. Ft.",2022
210,"801 Harrison St, Frenchtown, NJ, 08825","$579,500",Single Family Residential,3,2.5,"2,194 Sq Ft","3,484 Sq. Ft.",2022
211,"415 Poplar Ave, Woodbury Heights, NJ, 08097","$579,900",Single Family Residential,4,3.5,"2,990 Sq Ft",0.46 Acres,2023
212,"943 Greenwood Ave, Aberdeen, NJ, 07735","$579,900",Single Family Residential,4,2.5,— Sq Ft,"5,001 Sq. Ft.",2023
213,"9 Celia Dr, Sparta Twp., NJ, 07871","$579,900",Single Family Residential,4,2.5,— Sq Ft,"10,018 Sq. Ft.",2023
214,"16 Fifth St, Barnegat, NJ, 08005","$579,900",Single Family Residential,4,2.5,"2,340 Sq Ft",0.46 Acres,2023
215,"248 Congressional Ct, Moorestown, NJ, 08057","$579,955",Single Family Residential,4,3,"2,500 Sq Ft","5,500 Sq. Ft.",2023
216,"2 Oneida Ct, Sicklerville, NJ, 08081","$584,900",Single Family Residential,4,2.5,"3,200 Sq Ft",0.44 Acres,2023
217,"43 Basie Ct, Monroe Township, NJ, 08831","$584,990",Townhouse,2,3,"2,108 Sq Ft",,2023
218,"1983 Breakers Dr, Barnegat, NJ, 08005","$585,000","Single Family, Attached",4,3,"2,340 Sq Ft",0.27 Acres,2021
219,"86 Roseberry St, Phillipsburg Town, NJ, 08865","$589,900",Single Family Residential,4,2.5,"2,720 Sq Ft",0.27 Acres,2023
220,"313 Fischer Ct #313, Rockaway Twp., NJ, 07866","$589,900",Townhouse,2,2,"1,637 Sq Ft",—,2021
221,"5 Beaver Cir, Barnegat, NJ, 08005","$598,875",Single Family Residential,2,2,"1,748 Sq Ft","8,712 Sq. Ft.",2023
222,"418 Elizabeth Ave, Toms River, NJ, 08753","$599,000","Single Family, Detached",4,2.5,"2,215 Sq Ft","6,098 Sq. Ft.",2023
223,"306 W Youngs Ave Unit A, Wildwood, NJ, 08260","$599,000",Condo,3,2,"1,500 Sq Ft",—,2023
224,"306 W Youngs Ave Unit B, Wildwood, NJ, 08260","$599,000",Condo,3,2,"1,500 Sq Ft",—,2023
225,"306 W Youngs Ave Unit D, Wildwood, NJ, 08260","$599,000",Condo,3,2,"1,500 Sq Ft",—,2023
226,"306 W Youngs Ave Unit C, Wildwood, NJ, 08260","$599,000",Condo,3,2,"1,500 Sq Ft",—,2023
227,"306 W Youngs Ave Unit E, Wildwood, NJ, 08260","$599,000",Condo,3,2,"1,500 Sq Ft",—,2023
228,"306 W Youngs Ave Unit F, Wildwood, NJ, 08260","$599,000",Condo,3,2,"1,500 Sq Ft",—,2023
229,"571 Copley Pl, Bayville, NJ, 08721","$599,000",Single Family Residential,3,2.5,"2,405 Sq Ft",0.34 Acres,2023
230,"442 W Lincoln Ave #442, Wildwood, NJ, 08260","$599,000",Condo,3,2,— Sq Ft,—,2023
231,"1 Beaver Cir, Barnegat, NJ, 08005","$599,275",Single Family Residential,2,2,"1,748 Sq Ft","8,712 Sq. Ft.",2023
232,"209 W Bennett Ave #209, Wildwood, NJ, 08260","$599,609",Condo,3,2.5,"1,400 Sq Ft",—,2023
233,"120 Woodland Ave, Ewing, NJ, 08638","$599,900",Single Family Residential,5,3.5,"1,881 Sq Ft",0.36 Acres,2023
234,"915 2nd St, Union Beach, NJ, 07735","$599,900","Single Family, Detached",3,2.5,— Sq Ft,"2,500 Sq. Ft.",2023
235,"94-96 Woodland Dr, Cliffwood Beach, NJ, 07735","$599,900","Single Family, Detached",4,2.5,— Sq Ft,"2,069 Sq. Ft.",2023
236,"211 Park Ln, Dunellen, NJ, 08812","$599,900",Single Family Residential,3,2.5,"2,072 Sq Ft",—,2022
237,"211 Park Ln #211, Dunellen Boro, NJ, 08812","$599,900",Townhouse,3,2.5,"2,109 Sq Ft",—,2022
238,"140 Wisteria Ct, Freehold, NJ, 07728","$599,995","Adult Community, Detached",2,2,"1,670 Sq Ft","6,765 Sq. Ft.",2022
239,"66 3rd St, Ocean Twp, NJ, 08759","$599,999",Single Family Residential,4,3,— Sq Ft,"10,018 Sq. Ft.",2022
240,"9 Staysail Ave, Barnegat, NJ, 08005","$605,195",Single Family Residential,4,2.5,"2,867 Sq Ft",0.62 Acres,2023
241,"156 W Front St #18, Keyport, NJ, 07735","$609,900",Condo,3,3.5,"2,484 Sq Ft",—,2023
242,"Home Site 11 14 Baldwin Ct, Medford, NJ, 08055","$613,880",Single Family Residential,3,2.5,"2,660 Sq Ft",,2023
243,"173 Churchill Blvd, New Egypt, NJ, 08533","$615,000","Adult Community, Detached",3,3.5,"2,913 Sq Ft","4,661 Sq. Ft.",2022
244,"38 Phoebe Dr, Barnegat, NJ, 08005","$617,195",Single Family Residential,4,2.5,"2,867 Sq Ft",,2023
245,"211 Englewood Blvd, Hamilton, NJ, 08690","$618,632",Townhouse,3,2.5,"2,471 Sq Ft","6,020 Sq. Ft.",2022
246,"32 Jeanette St, Carteret, NJ, 07008","$619,900",Single Family Residential,4,2.5,"2,200 Sq Ft","3,311 Sq. Ft.",2023
247,"Lot 1 Pedricktown Woodstown Rd, Pedricktown, NJ, 08067","$619,900",Single Family Residential,4,2.5,"2,743 Sq Ft",1.2 Acres,2023
248,"211 Fischer #211, Rockaway Twp., NJ, 07866","$619,900",Townhouse,2,2,"1,997 Sq Ft",—,2021
249,"204 Fischer #204, Rockaway Twp., NJ, 07866","$619,900",Townhouse,2,2,"1,997 Sq Ft",—,2021
250,"212 Fischer #211, Rockaway Twp., NJ, 07866","$619,900",Townhouse,2,2,"1,997 Sq Ft",—,2021
251,"8 Ward St, Bloomfield Twp., NJ, 07003","$619,999",Condo,2,3,"1,564 Sq Ft",—,2023
252,"26 Deans Ct #27, Fairfield Twp., NJ, 07102","$620,000",Townhouse,3,2.5,— Sq Ft,2.15 Acres,2021
253,"52 Harvest Way, Little Falls Twp., NJ, 07424","$622,940",Townhouse,3,2.5,"2,042 Sq Ft",—,2023
254,"5 Deans Ct, Fairfield Twp., NJ, 07004","$625,000",Townhouse,2,2.5,— Sq Ft,2.15 Acres,2023
255,"21 COMO Ter, Jefferson Twp., NJ, 07849","$625,000",Single Family Residential,4,2.5,"3,200 Sq Ft",0.41 Acres,2023
256,"11 Seventh St, Hazlet, NJ, 07730","$629,000","Single Family, Detached",4,2.5,"2,400 Sq Ft",—,2023
257,"1153 Plainfield Ave, Berkeley Heights Twp., NJ, 07922","$629,900",Single Family Residential,4,3.5,— Sq Ft,0.98 Acres,2022
258,"30 Mordaunt Rd, Vernon Twp., NJ, 07462","$629,900",Single Family Residential,4,3.5,— Sq Ft,0.94 Acres,2023
259,"20 Park Pl, Mount Olive Twp., NJ, 07836","$629,900",Single Family Residential,4,2.5,— Sq Ft,0.44 Acres,2023
260,"50 Bennet Ln, Manahawkin, NJ, 08050","$631,950",Single Family Residential,4,3,"2,628 Sq Ft","7,500 Sq. Ft.",2022
261,"54 Bennet Ln, Manahawkin, NJ, 08050","$634,450",Single Family Residential,4,3,"2,628 Sq Ft","7,500 Sq. Ft.",2022
262,"2109 Mcdowell Rd, Monroe Township, NJ, 08831","$637,940",Multi-Family (2-4 Unit),3,3.5,"2,228 Sq Ft",,2023
263,"2113 Mcdowell Rd, Monroe, NJ, 08831","$639,990",Condo,3,3.5,"2,228 Sq Ft",—,2023
264,"11 Davon Ln, Hardyston Twp., NJ, 07419","$644,900",Single Family Residential,4,2.5,"2,550 Sq Ft",1.79 Acres,2023
265,"415 S 7Th St, Newark City, NJ, 07103","$645,000",Multi-Family (2-4 Unit),6,4.5,"2,066 Sq Ft","2,613 Sq. Ft.",2023
266,"60 Harvest Way, Little Falls Twp., NJ, 07424","$647,940",Townhouse,3,2.5,"2,042 Sq Ft",—,2023
267,"Lot 2 Pedricktown Woodstown Rd, Pedricktown, NJ, 08067","$649,900",Single Family Residential,4,3,"2,892 Sq Ft",1.2 Acres,2023
268,"15 Riverbend Ct, New Providence Boro, NJ, 07974","$649,900",Townhouse,2,2.5,"1,825 Sq Ft",2.11 Acres,2021
269,"304 Fischer #304, Rockaway Twp., NJ, 07866","$649,900",Townhouse,2,2,"1,896 Sq Ft",—,2021
270,"312 Fischer Ct #312, Rockaway Twp., NJ, 07866","$649,900",Townhouse,2,2,"1,896 Sq Ft",—,2021
271,"204 Grand Central Pkwy, Bayville, NJ, 08721","$649,990",Single Family Residential,4,2.5,"2,340 Sq Ft",0.52 Acres,2023
272,"204 Grand Central Pkwy, Bayville, Barnegat, NJ, 08005","$649,990",Single Family Residential,4,2.5,"2,340 Sq Ft",,2023
273,"417 Conifer Dr, Forked River, NJ, 08731","$649,999",Single Family Residential,4,2.5,— Sq Ft,"9,374 Sq. Ft.",2023
274,"301 Tyler Ct, Franklinville, NJ, 08322","$650,000",Single Family Residential,4,2.5,— Sq Ft,0.83 Acres,2021
275,"311 Tyler Ct, Franklinville, NJ, 08322","$650,000",Single Family Residential,4,2.5,— Sq Ft,0.9 Acres,2021
276,"312 Tyler Ct, Franklinville, NJ, 08322","$650,000",Single Family Residential,4,2.5,— Sq Ft,1.23 Acres,2021
277,"305 Tyler Ct, Franklinville, NJ, 08322","$650,000",Single Family Residential,4,2.5,— Sq Ft,0.6 Acres,2021
278,"307 Tyler Ct, Franklinville, NJ, 08322","$650,000",Single Family Residential,4,2.5,— Sq Ft,0.6 Acres,2021
279,"304 Tyler Ct, Franklinville, NJ, 08322","$650,000",Single Family Residential,4,2.5,— Sq Ft,0.6 Acres,2021
280,"309 Tyler Ct, Franklinville, NJ, 08322","$650,000",Single Family Residential,4,2.5,— Sq Ft,0.94 Acres,2021
281,"302 Tyler Ct, Franklinville, NJ, 08322","$650,000",Single Family Residential,4,2.5,— Sq Ft,0.83 Acres,2021
282,"308 Tyler Ct, Franklinville, NJ, 08322","$650,000",Single Family Residential,4,2.5,— Sq Ft,0.62 Acres,2021
283,"310 Tyler Ct, Franklinville, NJ, 08322","$650,000",Single Family Residential,4,2.5,— Sq Ft,0.88 Acres,2021
284,"8701 CHURCHILL Rd #506, North Bergen, NJ, 07047","$650,000",Condo,1,1,864 Sq Ft,—,2021
285,"6 Heather Hills Rd, Washington Boro, NJ, 07882","$650,000",Single Family Residential,5,5.5,"3,500 Sq Ft",0.26 Acres,2023
286,"105 Aaron Truehart Way, Hopewell, NJ, 08530","$652,990",Townhouse,3,4,"2,382 Sq Ft","1,200 Sq. Ft.",2023
287,"121 Lewis Fisher Dr, Titusville, NJ, 08560","$657,490",Townhouse,3,3.5,"2,382 Sq Ft",,2023
288,"8701 CHURCHILL Rd #606, North Bergen, NJ, 07047","$659,000",Condo,1,1,876 Sq Ft,—,2021
289,"246 Van Dorn St, Keyport, NJ, 07735","$659,000","Single Family, Detached",4,2.5,"1,920 Sq Ft",—,2023
290,"24 Chapel, Wall, NJ, 07753","$659,401","Single Family, Townhouse",3,2.5,"1,628 Sq Ft",—,2023
291,"122 W Pine Ave, Wildwood, NJ, 08260","$659,900",Condo,4,2,"1,661 Sq Ft","3,999 Sq. Ft.",2023
292,"0 P Patrick Ct, Toms River, NJ, 08755","$659,900",Single Family Residential,3,2.5,"2,275 Sq Ft",—,2023
293,"75 Main St #2, Roxbury Twp., NJ, 07876","$659,900",Townhouse,3,2.5,— Sq Ft,—,2022
294,"0 G Patrick Ct, Toms River, NJ, 08755","$659,900",Single Family Residential,4,2.5,"2,200 Sq Ft",—,2023
295,"59 Pratt Ln, Lawrence Township, NJ, 08648","$659,990",Townhouse,3,2.5,"2,462 Sq Ft","2,794 Sq. Ft.",2022
296,"31 Dolcie Ln, Lawrence Township, NJ, 08648","$660,000",Townhouse,3,2.5,"2,507 Sq Ft","2,794 Sq. Ft.",2023
297,"910 Malden Dr, Cliffwood, NJ, 07735","$665,000","Single Family, Detached",4,2.5,"2,000 Sq Ft","5,001 Sq. Ft.",2023
298,"427 Boxwood Dr, Forked River, NJ, 08731","$665,000",Single Family Residential,4,2.5,— Sq Ft,"7,802 Sq. Ft.",2023
299,"123 Lewis Fisher Dr, Titusville, NJ, 08560","$667,490",Townhouse,3,3.5,"2,456 Sq Ft",,2023
300,"117 Lewis Fisher Dr, Titusville, NJ, 08560","$667,490",Townhouse,3,3.5,"2,456 Sq Ft",,2023
301,"117 Lewis Fisher Dr, Hopewell, NJ, 08525","$667,490",Townhouse,3,4,"2,382 Sq Ft","1,200 Sq. Ft.",2023
302,"143 E Wildwood Ave #1, Wildwood, NJ, 08260","$669,000",Condo,4,2,— Sq Ft,—,2023
303,"99 Bradshaw Dr, Manahawkin, NJ, 08050","$669,900","Single Family, Detached",4,3,"3,306 Sq Ft","7,405 Sq. Ft.",2021
304,"6 Rachel Ct, Bayville, NJ, 08721","$669,900","Single Family, Detached",4,2.5,"2,651 Sq Ft",0.27 Acres,2023
305,"10 Rachel Ct, Bayville, NJ, 08721","$669,900","Single Family, Detached",4,2.5,"2,606 Sq Ft",0.27 Acres,2023
306,"55 Holloway Ave, Stafford, NJ, 08050","$670,000",Single Family Residential,5,4,"3,112 Sq Ft","7,200 Sq. Ft.",2021
307,"Home Site 15 5 Ashborn Ln, Medford, NJ, 08055","$671,035",Single Family Residential,3,2.5,"2,660 Sq Ft",,2022
308,"1136 Windward Ave, Beachwood, NJ, 08722","$674,900","Single Family, Detached",4,2.5,"2,445 Sq Ft","3,999 Sq. Ft.",2023
309,"75 Main St #1, Roxbury Twp., NJ, 07876","$674,900",Townhouse,3,2.5,"2,500 Sq Ft",—,2023
310,"62 Oakwood Blvd, Union Twp., NJ, 08827","$674,999",Single Family Residential,4,3.5,— Sq Ft,"7,840 Sq. Ft.",2022
311,"8 Sterling Dr, Wantage Twp., NJ, 07461","$675,000",Single Family Residential,4,2.5,"2,976 Sq Ft",1.36 Acres,2023
312,"12 Sterling Dr, Wantage Twp., NJ, 07461","$675,000",Single Family Residential,4,2.5,"2,486 Sq Ft",1.3 Acres,2023
313,"2 Sander Way, Bayville, NJ, 08721","$675,000","Single Family, Detached",4,3,"2,480 Sq Ft",0.46 Acres,2023
314,"26 Mountain View Rd, Lopatcong Twp., NJ, 08865","$675,000",Single Family Residential,4,2.5,— Sq Ft,0.64 Acres,2023
315,"4514 Arctic Ave #4514, Wildwood, NJ, 08260","$675,000",Townhouse,4,3.5,"2,200 Sq Ft",—,2023
316,"14 Mountain View Rd, Lopatcong Twp., NJ, 08865","$675,000",Single Family Residential,4,2.5,— Sq Ft,0.57 Acres,2023
317,"52 Depot Way, Dunellen, NJ, 08812","$675,924",Townhouse,3,2.5,"2,072 Sq Ft",,2023
318,"1 Melinda Ct, Bayville, NJ, 08721","$675,990","Single Family, Detached",4,2.5,"2,279 Sq Ft",—,2023
319,"44 Riverwalk, Plainsboro, NJ, 08536","$678,000",Townhouse,3,2.5,"2,825 Sq Ft",—,2023
320,"34 Dahlia, Warren Twp., NJ, 07059","$999,970",Townhouse,3,3.5,— Sq Ft,"2,613 Sq. Ft.",2023
321,"8 Lilac, Warren Twp., NJ, 07059","$999,990",Townhouse,4,3.5,"2,753 Sq Ft","1,306 Sq. Ft.",2023
322,"42 W Park Dr #302, Mountainside Boro, NJ, 07092","$999,990",Townhouse,3,2.5,"2,869 Sq Ft",—,2023
323,"34 Park W, Mountainside Boro, NJ, 07092","$999,990",Townhouse,3,2.5,— Sq Ft,—,2023
324,"4 Evelyn Ct, Cranbury, NJ, 08512","$999,995",Single Family Residential,2,2.5,"2,500 Sq Ft",,2023
325,"122 NEW YORK Ave #302, JERSEY CITY, NJ, 07307","$999,999",Condo,3,2,"1,575 Sq Ft",—,2022
326,"1559 Sussex Tpke Lot 4, Randolph Twp., NJ, 07869","$999,999",Single Family Residential,4,2.5,— Sq Ft,1.04 Acres,2023
327,"22 Sanctuary Ln, Farmingdale, NJ, 07727","$1,001,373","Adult Community, Detached",4,3,"3,092 Sq Ft",0.3 Acres,2022
328,"005 Balis Dr, Mullica Hill, NJ, 08062","$1,019,900",Single Family Residential,4,2.5,"4,402 Sq Ft",1 Acre,2023
329,"44 Park W, Mountainside Boro, NJ, 07092","$1,024,990",Townhouse,3,2.5,— Sq Ft,—,2023
330,"153 Sweetmans Ln Lot 202, Manalapan, NJ, 07726","$1,045,000","Single Family, Detached",5,5.5,"3,769 Sq Ft",0.98 Acres,2022
331,"379 Cook Ave, Scotch Plains Twp., NJ, 07076","$1,049,000",Single Family Residential,4,3.5,— Sq Ft,"4,791 Sq. Ft.",2023
332,"2732 West Ave #1, Ocean City, NJ, 08226","$1,049,900",Condo,3,2, Sq Ft,—,2023
333,"7 Castle Stuart Ct, River Vale, NJ, 07675","$1,049,995",Condo,3,2.5,"2,700 Sq Ft",,2023
334,"15 Saratoga Dr, Warren Twp., NJ, 07059","$1,059,278",Townhouse,3,2.5,"2,623 Sq Ft",—,2023
335,"8701 CHURCHILL Rd #705, North Bergen, NJ, 07047","$1,065,000",Condo,2,2,"1,398 Sq Ft",—,2021
336,"46 W Park Dr #501, Mountainside Boro, NJ, 07092","$1,074,990",Townhouse,3,2.5,"2,628 Sq Ft",—,2023
337,"48 Doyle Dr, Florham Park Boro, NJ, 07932","$1,075,000",Townhouse,2,2.5,— Sq Ft,—,2022
338,"216 Columbia Ave, Fort Lee, NJ, 07024","$1,079,000",Townhouse,3,3.5,— Sq Ft,"7,444 Sq. Ft.",2022
339,"22 White Pine Rd, South Brunswick, NJ, 08831","$1,089,000",Single Family Residential,5,2.5,"32,225 Sq Ft",2.08 Acres,2023
340,"39 King St, Clark Twp., NJ, 07066","$1,095,000",Single Family Residential,5,3,— Sq Ft,0.27 Acres,2022
341,"903 Maple Ave, Linwood, NJ, 08221","$1,095,000",Single Family,5,4.5, Sq Ft,0.38 Acres,2023
342,"402 Marissa Ln, Watchung Boro, NJ, 07069","$1,095,500",Townhouse,2,3.5,"2,965 Sq Ft",—,2023
343,"542 Lincoln Ave, Scotch Plains Twp., NJ, 07076","$1,099,000",Single Family Residential,5,3.5,— Sq Ft,"3,484 Sq. Ft.",2023
344,"521 Farm Rd, Hillsborough Twp., NJ, 08844","$1,099,000",Single Family Residential,5,3,— Sq Ft,1.41 Acres,2023
345,"15 Huckleberry Ln, Morris Twp., NJ, 07960","$1,099,000",Townhouse,3,3.5,"2,844 Sq Ft",—,2022
346,"8 Cole Pl, Cranbury, NJ, 08512","$1,099,995",Single Family Residential,3,3,"3,100 Sq Ft",,2023
347,"301 Lakewood Rd, Neptune Township, NJ, 07753","$1,100,000","Single Family, Detached",5,4.5,"4,500 Sq Ft","4,356 Sq. Ft.",2023
348,"12 Kelsch DR, Morris Plains, NJ, 07950","$851,411",Townhouse,—,—,— Sq Ft,—,—
349,"3 Kelsch DR, Morris Plains, NJ, 07950","$842,028",Townhouse,—,—,— Sq Ft,—,—
